XRP,,,,LTC,,,,BTC,,,,ETH,,,,,,,,
Date,Open,,,Date,Open,,,Date,Open,,,Date,Open,,,,XRP,LTC,BTC,ETH
1/22/2018,1.39,0.604347826,,1/22/2018,191.79,0.827858592,,1/22/2018,11633.1,0.824329304,,1/22/2018,1055.35,1.396408913,,1/22/2018,0.604347826,0.827858592,0.824329304,1.396408913
1/23/2018,1.35,0.586956522,,1/23/2018,180.28,0.778175854,,1/23/2018,10944.5,0.775534644,,1/23/2018,1004.17,1.328689002,,1/23/2018,0.586956522,0.778175854,0.775534644,1.328689002
1/24/2018,1.35,0.586956522,,1/24/2018,178.43,0.770190357,,1/24/2018,10903.4,0.77262227,,1/24/2018,987.48,1.306605272,,1/24/2018,0.586956522,0.770190357,0.77262227,1.306605272
1/25/2018,1.36,0.591304348,,1/25/2018,181.56,0.783700954,,1/25/2018,11421.7,0.809349357,,1/25/2018,1063.22,1.406822272,,1/25/2018,0.591304348,0.783700954,0.809349357,1.406822272
1/26/2018,1.31,0.569565217,,1/26/2018,179.82,0.776190271,,1/26/2018,11256,0.797607744,,1/26/2018,1052.7,1.392902509,,1/26/2018,0.569565217,0.776190271,0.797607744,1.392902509
1/27/2018,1.22,0.530434783,,1/27/2018,176.66,0.762550179,,1/27/2018,11174.9,0.791860943,,1/27/2018,1055.75,1.396938181,,1/27/2018,0.530434783,0.762550179,0.791860943,1.396938181
1/28/2018,1.22,0.530434783,,1/28/2018,181.42,0.783096646,,1/28/2018,11475.3,0.813147489,,1/28/2018,1111.78,1.471075474,,1/28/2018,0.530434783,0.783096646,0.813147489,1.471075474
1/29/2018,1.4,0.608695652,,1/29/2018,193.75,0.836318902,,1/29/2018,11755.5,0.83300265,,1/29/2018,1246.7,1.649597756,,1/29/2018,0.608695652,0.836318902,0.83300265,1.649597756
1/30/2018,1.33,0.57826087,,1/30/2018,181.44,0.783182976,,1/30/2018,11306.8,0.801207466,,1/30/2018,1184.13,1.566806923,,1/30/2018,0.57826087,0.783182976,0.801207466,1.566806923
1/31/2018,1.13,0.491304348,,1/31/2018,165.3,0.713514913,,1/31/2018,10108.2,0.716273862,,1/31/2018,1071.09,1.41723563,,1/31/2018,0.491304348,0.713514913,0.716273862,1.41723563
2/1/2018,1.16,0.504347826,,2/1/2018,163.68,0.706522208,,2/1/2018,10237.3,0.725421975,,2/1/2018,1119.37,1.481118344,,2/1/2018,0.504347826,0.706522208,0.725421975,1.481118344
2/2/2018,0.960642,0.417670435,,2/2/2018,142.56,0.615358052,,2/2/2018,9142.28,0.64782812,,2/2/2018,1035.77,1.370501217,,2/2/2018,0.417670435,0.615358052,0.64782812,1.370501217
2/3/2018,0.891992,0.387822609,,2/3/2018,131.4,0.567186084,,2/3/2018,8852.12,0.627267187,,2/3/2018,919.21,1.216272362,,2/3/2018,0.387822609,0.567186084,0.627267187,1.216272362
2/4/2018,0.913418,0.397138261,,2/4/2018,160.38,0.692277809,,2/4/2018,9175.7,0.650196284,,2/4/2018,964.67,1.276423732,,2/4/2018,0.397138261,0.692277809,0.650196284,1.276423732
2/5/2018,0.825943,0.359105652,,2/5/2018,148.73,0.641990763,,2/5/2018,8270.54,0.586056037,,2/5/2018,834.96,1.104795173,,2/5/2018,0.359105652,0.641990763,0.586056037,1.104795173
2/6/2018,0.705121,0.306574348,,2/6/2018,127.52,0.550438123,,2/6/2018,7051.75,0.499691756,,2/6/2018,707.74,0.93646131,,2/6/2018,0.306574348,0.550438123,0.499691756,0.93646131
2/7/2018,0.774576,0.336772174,,2/7/2018,142.48,0.615012734,,2/7/2018,7755.49,0.549559247,,2/7/2018,790.43,1.045874352,,2/7/2018,0.336772174,0.615012734,0.549559247,1.045874352
2/8/2018,0.729252,0.317066087,,2/8/2018,138.34,0.597142487,,2/8/2018,7637.86,0.541223906,,2/8/2018,755.84,1.000105854,,2/8/2018,0.317066087,0.597142487,0.541223906,1.000105854
2/9/2018,0.79714,0.346582609,,2/9/2018,149.73,0.646307247,,2/9/2018,8271.84,0.586148155,,2/9/2018,818.48,1.082989309,,2/9/2018,0.346582609,0.646307247,0.586148155,1.082989309
