X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
141,,,,,,10,,,,,25,,,,,2
142,,,,,,10,,,,,,,,32,,2
143,,,,,,10,,,18,,,,,,,2
144,,,,5,,,,,,,25,,,,,2
145,,,3,,7,,,,18,,,,,,,3
146,,,,,,,,,,,,,30,32,,2
147,0,,,,,,,,,,,,,,,1
148,0,,,,7,,12,17,,,,28,,,,5
149,,,,5,,,,17,,,,,,,,2
150,,2,,,7,,,,,,,,,,,2
151,,2,3,,,10,,,,23,,,,,,4
152,,,,,,,,,18,23,,,,,33,3
153,,2,,,,10,,,,,,28,,32,,4
154,,,,5,,,12,17,,,,,,32,,4
155,,2,,,,10,,,,,,28,,,,3
156,,,,,7,,12,,,,25,,30,,,4
157,0,,,,,,,17,,,,,30,,,3
158,0,,,,,,,,18,,25,28,,,,4
159,,,,,,,,,,,,,,,33,1
160,0,,3,,,,,,,,25,28,,,,4
161,0,,3,,,,,,,,,,,,,2
162,,2,,,,,,,18,23,,,,32,,4
163,,,,5,,,12,,,23,,,,,,3
164,,,,5,,10,12,,,,25,,,,,4
165,0,,,,,,,,18,,,,,32,33,4
166,,,,,,,,17,,,,,,32,,2
167,,2,,,,,,,,,,,,,,1
168,0,,,,,,,,,,,28,,,,2
169,,,3,,7,,,17,,,,,,,,3
170,,,,5,,,,17,,23,,,,,33,4
171,,,,,,,,17,,,,,,,33,2
172,,,,,,,,,,,,,,,,0
173,,2,,,,,,,,23,,,,,33,3
174,,,,,,,,,,,,,,,,0
175,,,,5,7,,,,,,25,,30,,,4
176,,,,,,10,,,,,,,,,,1
177,,,,5,,,,,,23,,28,,32,,4
178,,,,,,,,,,,,28,,32,,2
179,0,,,,,,,17,,,,,,32,,3
180,,2,,,,,,,,,,,,32,,2
181,,,,,,,,,,,,,,,,0
182,,,3,,,,,,18,,,,,,,2
183,,,3,5,,,,,,23,,,30,,,4
184,,2,,5,,,12,,18,,,,,,,4
185,,,,,,,12,,,,,,,32,,2
186,,,,,,,,17,,,,28,30,,,3
187,,,,,,,12,17,,,,,,,,2
188,,,,5,,,,,,,,,,,,1
189,,,,,,,,,,23,25,,,,,2
190,,,,,,,,,,23,,,,,,1
191,,,3,,7,,,,,,,,,,,2
192,,,,,,,,,18,,,,,,,1
193,0,,,,,,,,18,,,28,,,,3
194,,,,,,,,,18,,,,,,,1
195,,,,,,,,,,,,,,32,,1
196,,,3,,7,,12,,,,,,,,,3
197,,,3,,7,,,,,,25,,,,,3
198,,,,5,,,,,,,,,30,,,2
199,,,,,,10,,,,,,28,,32,,3
200,,,3,,,,12,,,,,,30,,,3
201,,2,,,,,12,,,,,,,,33,3
202,,,,,7,,,,,,25,,,,,2
203,,2,,,,,12,,,,,,,,,2
204,0,,,,,10,,,,,,,,,,2
205,0,,,,,,,,,,,,,,,1
206,,,,,,10,,,,23,,,,,,2
207,,,,,,,12,,18,23,,,30,,,4
208,,,,,,,,17,18,,,,,,,2
209,0,,,,,,12,,,23,,,,,33,4
210,,,,5,,,,17,,,,28,30,,,4
211,,,,,,,12,,,,,,,,,1
212,,2,,,,,,17,,,,,30,,,3
213,,,,,7,,,,,,,,,,,1
214,,,,,,,,,,,,,30,,33,2
215,,,,5,,,,,,,,28,,32,,3
216,,,,,,,,,,,,,,,,0
217,,,3,,,,,,,,,,,,,1
218,,,,,7,,,,,,,,,,,1
219,,,,,,10,,17,,,,,,32,,3
220,,,,,,,12,,18,,25,,,,,3
221,,,,5,,,,,,,,,30,,,2
222,,,,,,10,,,,,25,,,,33,3
223,0,,,,,,,,,,,,,,,1
224,,,3,,,,,,18,,,,,,,2
225,,,,,,,,17,,23,,28,,,,3
226,,,,,,,,,,,,,,,33,1
227,,,,5,7,,12,,18,23,,,,,,5
228,,,,,,,,,,,,,,,,0
229,,,,5,,,,,,,,,,,,1
230,,2,,,,,,,18,,,,30,,,3
231,,,,5,,,,,,23,,28,,,,3
232,,2,,,,10,,17,,23,25,,,,,5
233,,,,,,10,,17,,,,,,32,,3
234,,,,5,,10,,,,23,,,,32,,4
235,,,3,,7,10,,,,,,,30,,33,5
236,,,,,,,,,18,,,,30,,,2
237,,,3,,,,,,,,25,28,,,,3
238,,2,,,7,,12,,,,25,,,,,4
239,,,,,,,12,,,,,,,,,1
240,,,,,,10,,,,,25,,,32,,3
241,,,,,,,,,,,,,,,,0
242,,,,,,,12,,,,25,,,,,2
243,,,,5,,,,17,,,,28,,,,3
244,0,,,,,,,17,18,,,,30,,33,5
245,,,,5,,,,,,,,,,,,1
246,,,,,,10,,,18,,,28,,,,3
247,0,,,,,,,17,,,,,,,33,3
248,,,,,,,,17,,,,,,,,1
249,0,,,,,,12,,,,,,,,,2
250,,,,,7,,,,,,,,,,,1
251,0,,,,,,,,,,25,,,32,,3
252,,,,,,,,,,,,28,,,,1
253,,,3,,7,,,17,,23,25,,,,,5
254,,,,,,,,,,,,,,,,0
255,0,,,,7,10,,,,,,28,,,,4
256,,,,,,,,,,23,,,,,,1
257,,,,,7,,,,,,,,,,,1
258,,,,,,,,,,,,,,,,0
259,,2,,5,,,,,18,,25,,,32,,5
260,,,,5,,,,,,,,,,,,1
261,,,,,,,,,18,,,,,,,1
262,,,,5,,,,,,,,,,,33,2
263,,,,,,,,17,18,,,,,,,2
264,0,,,,,,,,,,,,30,32,,3
265,,2,,,,,,,,,,28,,,,2
266,,,,,7,,12,,,,,,30,,,3
267,,,,5,,,,,,23,,28,,,33,4
268,,,,,,,,,,,,,,,33,1
269,,2,,,7,,,,18,,,,,,,3
270,,2,,,,,,,18,,,,,32,,3
271,0,2,,,,,,,,,,,,,,2
272,,,,,,,12,17,,,25,,,,,3
273,0,,3,,,,,,,,,,,,33,3
274,,,3,,,,,,,,,,,,,1
275,,,,,7,,,,,,25,,,,,2
276,,,,,,,,,,,25,,,32,,2
277,0,,,,,10,,,,,,,,,33,3
278,,2,,,,10,12,,,,,,,,,3
279,,2,,,,,,,,,,,,,33,2
280,,,,,,,,,18,,,,,,,1
