X,r0,r2,r3,r5,r7,r10,r12,r17,r18,r23,r25,r28,r30,r32,r33,count
8325,,,3,,,,,,,,,,,,,1
8326,,2,3,5,,,,,,,,,,,,3
8327,,,,,,,,,,,,,,,,0
8328,,,,,,,,,,,25,28,,32,,3
8329,0,,,,,10,,,,,,28,30,,,4
8330,,,,,,,,,,,,28,,32,33,3
8331,,,,,,,,,,,,,,32,,1
8332,,,,,,,,,,,,,,,,0
8333,,,,5,,,,,,,,,,,33,2
8334,,,,,7,,,,,,,,,,,1
8335,,,,5,,,,,,,25,,,,,2
8336,,,,,,,,,,,,,,,,0
8337,,,,,,,,17,,,,,,,,1
8338,0,,,,,10,,,,,,,,,,2
8339,,,,,,,,17,,,,,,,,1
8340,,2,,,,,,,,,,28,,,,2
8341,,,,,,,,,,,,,,,,0
8342,,,,,,,,,,,,,,32,,1
8343,0,,,,,,,,,,,,,,33,2
8344,,,,5,,,,,,,,,,,,1
8345,,,,,,,,,,,25,,30,,,2
8346,,,,,7,10,,,,,,,,,,2
8347,,,,,,,12,,18,,,,30,,,3
8348,,,,,,,,,,,,,,,,0
8349,0,,,,,,,,,,25,,,,,2
8350,,,3,,,10,,,,,25,,,,,3
8351,,,,,,,,,,,,,,32,,1
8352,,,,,,10,,,,,,,,,,1
8353,,,,,7,,,,,,,,,,,1
8354,,,,,,,,,,,,,,,,0
8355,,,,5,,,,,,,,,,,,1
8356,,,,,7,,,,,,,,,,,1
8357,,,,,,,12,,,,,,,,,1
8358,0,,,,,,,,,,,,,,,1
8359,,,,,,,,17,,,,,30,,,2
8360,,,,,,,,,,,,,,,,0
8361,,2,3,,,,,,,,,,,,,2
8362,,,,,,,,,,,,,,,,0
8363,0,,,,,,,17,,,,,,,,2
8364,,,,,,,,,,,,,,,,0
8365,,,,,,,,,,23,,28,,,,2
8366,,,,,,10,,,,,,,,,,1
8367,,,3,,,,,,,,,,,,,1
8368,,,,5,,,,,,,,28,,,,2
8369,,,,,,,,,,,,,,,,0
8370,,,,,,,,,,,,,,,,0
8371,,,,,,,,,,,,,,,,0
8372,,,,,,,,,,,,,,,,0
8373,,,,,,10,12,,18,,,,,,,3
8374,0,,,,,,,,,,,,,,33,2
8375,,,,,,,,,,,,,,,,0
8376,,,,,,,,,,,,,,,,0
8377,,,,,,,,,,,,,,32,,1
8378,,,3,,,,,,,,,,,,,1
8379,,,,,,10,,,,,,,,,,1
8380,,,,,,,,,,,,,,,,0
8381,,,,,,10,,,,,,,,,,1
8382,,,,,,10,,,,,,,,,,1
8383,,,,,,,,,,23,,,,,,1
8384,,,3,,,10,,,,23,,,,,,3
8385,,,,,,,12,,,,,,,,,1
8386,,,,,7,,,,,,,,,,,1
8387,,,,5,,,,,,,,,,,,1
8388,,,,,,,,,,,,,,,,0
8389,0,,,,,,,,,,,,,,,1
8390,,,,,7,,,,,,,,,,,1
8391,,,,,,,,,,,25,,,,,1
8392,,,,,,,,,18,,,,,,,1
8393,,,,,,,12,,,,,,,,,1
8394,,,,,,,,,,,,28,30,32,,3
8395,,,,,,,,,,,,,,,33,1
8396,,,,,,,,,,,,,,,,0
8397,,,,,,10,,,,,,,30,,,2
8398,,,,,,,,,,23,,,,,,1
8399,,,,,,10,,,,,,,,,,1
8400,,,,,,,,,,,,,,,,0
8401,,2,3,,7,,,,,,,,,,,3
8402,,,,,7,,,,,23,,,,,,2
8403,,,,,,,,17,,,,,30,,,2
8404,,,,,,10,,,,23,,,,,,2
8405,,2,,,,,12,,,,,,,,,2
8406,,,,,,,,,,,,,,,,0
8407,,,,,,,,,,,,,,,,0
8408,,,,,,,,,18,,,,,,,1
8409,,,,,,,,,18,,,,,,,1
8410,,,,,,10,,,,,,,,,,1
8411,,,,,,,,,,,25,,,,33,2
8412,,,3,,,10,,,18,,,,,,33,4
8413,,,3,,,,12,,,,25,,,,,3
8414,,,,,,,,17,,,25,,,,,2
8415,,,,,,,,,,,,,30,,,1
8416,,,,,,10,,,,,,,,,,1
8417,,,,,,,,,,,,28,,,,1
8418,,,,,,,,,,23,,,,,,1
8419,,2,,,,,,,,,,,,,,1
8420,,,,5,7,,,,,,,,30,,,3
8421,,2,,5,,,,,,,,,,,33,3
8422,,,,,,,,,,23,,,,,,1
8423,,,,,,,,,,,,,,,,0
8424,,,,,,10,12,,,,,,,,,2
8425,,,,,7,,,,,,25,,,,,2
8426,,,,,,,,,,,,,,,,0
8427,,,,,,,,,,,,,,,,0
8428,,2,,,,,,,,,,,,,,1
8429,,,,,,,,,,,,,,,,0
8430,,,,,,,,,,,,,,32,,1
8431,,,,,,,,,,,,,,,,0
8432,,,,,,,,,,,,,,,,0
8433,,,,,,,,,,,,,,,,0
8434,,,,,,,,,,,,,,,,0
8435,,,,,,,12,,18,,,,,,,2
8436,,,,,,,,,,,,,,,,0
8437,,,,,,,,,18,,,,,,,1
8438,,,,,,,,,,,,,,,,0
8439,,,,,,,,17,,,,,,,,1
8440,0,,,,,,,,,,,,30,32,,3
8441,,,,,,,,17,,,,,,,,1
8442,,,,,,,,,,,,28,,,,1
8443,,,,,,,,,,,25,,,,33,2
8444,,,,,7,,,,,,,,,,,1
8445,,,,,,,,,,23,,,,32,,2
8446,,,3,,,10,,,,,,,,,,2
8447,,2,,,,,,,18,23,,,,,,3
8448,,,,,,,,,,,,,,,,0
8449,,2,,,,,,,,,,,,,,1
8450,,,,,,,,,,23,,,,,33,2
8451,,,,,,,,,,,,,,,,0
8452,,,3,,,,,,,,,,,,,1
8453,,,,,7,,12,,,,,,,,,2
8454,,,,,,,,,,,25,,,,,1
8455,0,,,,,,,,,23,,,30,,,3
8456,,,,,,,,,18,,,,,,,1
8457,,,,,7,,,,,,,,,,,1
8458,,,,,,10,,,,23,,,,,,2
8459,,,,5,,,,,,,,,,,,1
8460,,,,,,,,,,,,,,32,,1
8461,,,,,,,,,,,,,,,,0
8462,,,,,,10,,,,,,,,,,1
8463,,,,,,,,,,,,,,,,0
8464,,,,,7,,,17,,,,,,,,2
8465,,,,,,,,17,,,,,,,,1
8466,0,,,,,,12,,,,25,,,,,3
8467,0,,,,,,,,,,25,,,32,,3
8468,,,,,7,,,,,,,,30,32,,3
8469,,,,,,10,,,,,,,,,,1
8470,,,,5,,,,,,,,,,,,1
8471,,,3,,,,,,,,,,,,,1
8472,,2,,,7,,,,,,,28,30,,,4
8473,,,,,,,,,,,,,,,,0
8474,,,,,,,,,18,,25,,,,,2
8475,,,,,,,12,,,,,,,,,1
8476,,,,,7,,,,18,,,,,,,2
8477,0,,,,,,,,,23,,,30,,,3
8478,0,,,,,,,17,18,,,,,,33,4
8479,,,,,,,,,,,,,,,,0
8480,,,,,,,,,,,,28,,,,1
8481,,,3,,,,,,,,,,,,,1
8482,,,,,,,,,,23,,,,,,1
8483,,,,,,,,,,23,,,,,,1
8484,,,,,,,,,,23,,,,,,1
8485,,,,,,,,,,,,,,,,0
8486,,,,,,,,,18,23,,,30,,,3
8487,0,,,,,,,,18,,,,,32,,3
8488,,,3,5,,,12,,,,,,,,,3
8489,,,,,,,,,,,,,,,,0
8490,,,,5,,10,,,,,,,,,,2
8491,,,,,,,,,,,,,,,,0
8492,,,,,,,,,18,,,,30,,33,3
8493,,,,,,,,,,23,,,,,,1
8494,,,,,7,10,,17,,,,,,,,3
8495,,,,,,,12,,,,,,,,,1
8496,,2,,,,,,,,,,,,,,1
8497,,,,,,,,,,,,,,,,0
8498,0,,,,,,,,,,,,,,,1
8499,,,,,,,,,,,,,,,,0
8500,,,,,,,,17,,,25,,,,,2
8501,,,,,,,,,,,,,,,,0
8502,,,,,,,,,,,,,,,,0
8503,,,,,,10,,,,,,,,,,1
8504,,2,,,,,,,,,,,,,,1
8505,,,,,,,,,,,,28,,,,1
8506,,,,,,,12,,,,,,30,,33,3
8507,,,,,,,,,,,,28,,,,1
8508,,,,,,,,,,,,,,,,0
8509,,,,,,,,,,,25,,,,33,2
8510,,,,,,,,,,,25,,,,,1
8511,,,,5,,,,,,,,,,,,1
8512,0,,,,,,,,,,,,30,,33,3
8513,,,,,,,,,,,,,,,,0
8514,,,,,,,12,,,,,,,,,1
8515,,,,,,,,,,,,,,,,0
8516,,,,,,,,,,,25,,,,,1
8517,,,,,,,,,,,,,,,33,1
8518,,,,,,,,,,,,,,,,0
8519,,2,,,,,,17,,,,,,,,2
8520,,,3,,,,,,,,,,,,,1
8521,,,,,,,12,,18,,,,,,,2
8522,,,,,,,,,,,,,,,,0
8523,,,,,,,,,,,,,,,,0
8524,,2,,,,,,,,,,,,32,,2
8525,,,,,7,10,,,18,,,28,,,,4
8526,,,,,,,,,,,,,,,,0
8527,0,,,,,,,,,,,,,,,1
8528,,,,,,,,,,23,,,,,,1
8529,0,,,,,,,17,,,,,,,,2
8530,,,,,,,,,,,,,,,,0
8531,,,,,7,,,,,,,,,,,1
8532,,2,3,,,,12,,,,,,30,,,4
8533,,2,,,,10,,17,,,,,,,,3
8534,,,,,,,,,18,23,,,,,33,3
8535,,,,5,,,,,,,,,,,,1
8536,,,,,7,,,,,,25,,,,33,3
8537,,,3,,,,,,,,,,,,,1
8538,0,,,,,,,,,23,,,,32,,3
8539,,,,,,,,,,,,28,,,,1
8540,,,3,,,,,,,,,,,,,1
8541,,,,,,,,,18,,,,,,,1
8542,,,,,,,,,18,,,,,,,1
8543,,,,,,,,,,,25,,,,,1
8544,,,,5,,,,,,,,,,,,1
8545,,,,,,,12,,,23,,,,,33,3
8546,,,3,,,,12,17,,,,,,,,3
8547,,,,,,,,,,23,,,,,,1
8548,,,,,,,12,,,,,,,32,,2
8549,,,,,7,,,,,,,,,,,1
8550,,,,5,,10,,17,,,,,,,33,4
8551,,,,,,,,17,,,,,30,,,2
8552,,,,,,,,,,,,,,,,0
8553,0,,,,,10,,,,,,,,,,2
8554,,,,,,,,,,23,,,,,,1
8555,,,,,,,,,,,,,,,,0
8556,0,,3,,7,,,,,,,,,,,3
8557,,,,,,,,,,,,,,,,0
8558,,,,,,10,,,,,,,,32,33,3
8559,,,,,,,,,,,25,,,,,1
8560,,,,,,,,,,,,,30,,,1
8561,,2,,,,,,,,,,,,32,,2
8562,,,,,,,,,18,,,28,,,,2
8563,,,,,7,,,,,,,,,,33,2
8564,,,,,,,,,,,,,,32,33,2
8565,,,,,,,12,,,,,,,,,1
8566,,,,,,10,,,,23,25,,,,,3
8567,,,,,,,,,18,,,,,,,1
8568,,,,5,,,,,,,,,,,,1
8569,,,,,,,,,,,,,,,,0
8570,,,,,,,,17,,,,,,,,1
8571,,,,,,,,,,,,,,,,0
8572,0,,,,,,,,,23,,,,32,,3
8573,,2,,,,,,,,,,,,,,1
8574,,2,,,,,,,,,,28,,,,2
8575,,,,,,10,,,,,,,,,,1
8576,0,,,,,,,,,,,,,,,1
8577,,,,,,,,,,,,,,32,,1
8578,,,,,,,,,,,25,,,,,1
8579,,,,,,,,,,,,,30,,,1
8580,,,3,,,,12,,,,,,,,,2
8581,,,,,,,12,,,,,,,,,1
8582,,,,,,,,,,,,,,,,0
8583,,,,,,,,,,,,28,,,,1
8584,,2,3,,,,,,,,,,,,33,3
8585,,,,,,,,,,,,,30,,,1
8586,,,3,,7,,,,18,,25,,,32,,5
8587,,,,,,,,,,,25,,,,,1
8588,,,,5,,,12,,,,,,,,33,3
8589,,,,,,,,,,,,,,,,0
8590,,,,,,,,,,,,,,,,0
8591,,,,,,,,,,,,,,,,0
8592,,,,,,,,,,,,,,,,0
8593,,,3,,,,,,,,,,30,,,2
8594,,,,,,10,,,,,,,30,,33,3
8595,,2,,,7,,,,,,,,,,,2
8596,,,,,,,,17,,,,,,,33,2
8597,0,,,,,,,,,,,,,,,1
8598,0,2,,,,,12,,,,,,,,,3
8599,,,,5,,,,,,,,,,,,1
8600,,,,,,10,,,,,,,,32,,2
8601,,2,,,,,,,,,,,,,,1
8602,,,,,,,,,,,,,,,,0
8603,,,,,,,,,,,,,,,,0
8604,0,,,,,10,,17,,,,,,,,3
8605,,2,,,,,,,,23,,,,,,2
8606,,,,,,,,,,,,,,,,0
8607,,,,,7,,,,,23,,,,,,2
8608,,2,,,,,,,,,,,,,,1
8609,,,,,,,,,18,,25,,,,,2
8610,,,3,,,,,,,,,,,,,1
8611,,,,,,,,,,,,,30,,,1
8612,,,,,,,,,,,,,,,,0
8613,,,,,,,12,,,,,,,32,,2
8614,,,,,,,,,,,,,,,,0
8615,,,3,,,10,,,,,,,,,,2
8616,,,,,,10,,,,,,28,,32,,3
8617,,2,,,,,,17,,,,,,,,2
8618,,,,,,,12,,,,,,,,,1
8619,,,,,,,,,,,,,,,,0
8620,,,3,,7,,,,,,,,,,,2
8621,,2,,,,,,,,,,28,,,33,3
8622,,,,,,,,,,,,,,,,0
8623,,,,,,,,17,,23,25,,,,,3
8624,,,,,7,,,,,,,,,,,1
8625,,,,,,,12,,,23,,,,,,2
8626,,,,,,,,,18,,,,,,,1
8627,,2,,,,,,,,,,,,,,1
8628,,,,,,,,,,,,,30,,,1
8629,0,,,,,,,,,,,,30,,,2
8630,,,,,,10,,17,,,,,,,,2
8631,0,,,,,,,,,,,,,,,1
8632,,,,,,,,17,,,25,,,,,2
8633,,,3,,,,12,,,,,,,,,2
8634,,,,,,,,,,,,,30,,,1
8635,,,3,,,,,,,,,,,,,1
8636,,,,,,,,,,,,,30,,,1
8637,,,,,,,,,,,,28,,,,1
8638,,2,,,,,,,,23,,,,,,2
8639,,,,,,,,,,,,,,32,,1
8640,,,,5,,,,,18,,,,,,,2
8641,0,,,5,7,,,,,,,,,,33,4
8642,0,,,,,,,,18,,,,,,,2
8643,,,,,,,12,,,,,,,32,,2
8644,,,,5,,,,,18,,,,,,,2
8645,,,,,,,,,18,,,,30,,,2
8646,,,,,,,12,,,,,,30,,,2
8647,,2,,,,,12,,,,,,,,,2
8648,,,,,,,,,18,,,,,,,1
8649,,,,,,,,,,,,,,,,0
8650,,,,,,,,,,,,,,,,0
8651,,,,,,,,,,,,,,,,0
8652,,,,,,,,,,,,,,,,0
8653,,,,,,,,,,23,25,,,,,2
8654,,,,,,,,,18,,,,,,,1
8655,,,,,,,,,,23,,,,,,1
8656,,,,,,,,,,,,,,,,0
8657,,,,,,,,,18,23,,,,32,,3
8658,,,,,,,,,,,,,,,,0
8659,,,3,,,,,,,23,,,,,,2
8660,,,,,,,,,,,,,,,,0
8661,,,,,,,,,,,,28,30,,,2
8662,,,,,7,,,,,,,,,,,1
8663,,,,,7,,,,,,,,,,,1
8664,,,,,,,,,,,,,,,,0
8665,,,,,,10,,,18,,,,,32,33,4
8666,,,,,,,12,,,,,,,,,1
8667,,,3,,,,,,,,,,,,,1
8668,0,,,,,10,,,18,,,,,,,3
8669,,,,,,10,,,,,,,30,,,2
8670,0,,,,,,,,,,,,,,,1
8671,,,,,,,,,,,,,,,,0
8672,,,3,,,,,,,,,,,,,1
8673,,,,,7,,,,,,,,,,,1
8674,,2,,,,,,,,,,28,,32,,3
8675,,,,,,,,,,,,,,,,0
8676,,,,,,10,,,,,,,,,,1
8677,,,3,,,,,,,,25,,,,,2
8678,,2,,,,10,,,,,,28,,,,3
8679,,,,,,,12,,,,,,,,,1
8680,,,,,,,,,,,,,,,,0
8681,0,,,,7,,,,18,,,,30,,,4
8682,,,,,,,12,,,,,,,,,1
8683,0,,,,,,,17,,,25,,,,,3
8684,,,,5,7,,,,,,,,,,,2
8685,,,,,,,,,,,25,,,,,1
8686,,,,,,,,,18,,,,,,,1
8687,0,,,,,,,17,,,,,,32,,3
8688,0,,,,,,,,,,,,,,33,2
8689,,,,,,,,,,23,25,28,,,,3
8690,,,3,,,,12,,,,,,30,,,3
8691,,,,5,,,,,,,,,,,,1
8692,,2,,,,10,,,,23,,,,,,3
8693,,,,,,,,,,,,,,,,0
8694,,,,,,,,,,,,,,,,0
8695,,,,,,,,,,,,,,,,0
8696,,2,,,,,,,,,,,,,,1
8697,,,,,,,,,,,25,,,,,1
8698,,,,5,,,,,18,,,,,,,2
8699,,,,,,,,,18,,,,,,,1
8700,,,,,,,,17,,,,,30,,,2
8701,,,3,,,10,,,,,,,,,,2
8702,,,,,,,,,,,,,,,,0
8703,,,,,,,,17,,,,,,,,1
8704,,,,,,,,,,,,,,,,0
8705,,,,,,,,,,,,,,,,0
8706,,2,,,7,,,,,23,,,,,,3
8707,,,,5,,,,,,,,,,,33,2
8708,,,,,,,,,,,25,,,,,1
8709,,2,,,,,,,,,,,,,,1
8710,,,,,7,,,,,,,,,,,1
8711,,,,,,,,,,,,,,,,0
8712,,,,5,,,,17,,,,,30,,,3
8713,,,,,,,12,,,,,,,,,1
8714,,,,,,,12,,,23,,,,,,2
8715,,,,,,,,,,,,,,32,33,2
8716,,,,,,10,,,,,,,,,33,2
8717,,,,,,,,,,,,,,,,0
8718,,,,,,,,,18,,,,,,,1
8719,,2,,,,,,,,23,,,30,,,3
8720,,,,,,,,,,,,,,,,0
8721,,,,,,,12,,,,,,30,,,2
8722,,,,,,10,,,,,,,,,,1
8723,,,,,,,,,,23,,,,,,1
8724,,,,,,,,,,23,,,30,,,2
8725,,,,,7,,,,,,,,,,,1
8726,0,,,,,,,,,,,,,,,1
8727,,,,,,,,,,,,,,32,,1
8728,,,,,,,,,,,,,,,,0
8729,,,,,,,,,,,,28,,,,1
8730,,,3,,7,,,,,23,,,,,,3
8731,,2,3,,,,,,,,,28,,,,3
8732,,,,5,7,,,,,,,,,,,2
8733,,,,,,,,17,18,23,,,30,,,4
8734,0,,,,,,,,,,,28,,,,2
8735,,,,,,,,,,,,,,,,0
8736,,,,,7,,,,18,,,,,32,,3
8737,,,,,,,,,,23,,,,,33,2
8738,,2,,,,,,17,,,25,,,,,3
8739,,,,,,,,,18,,,,,,,1
8740,0,2,,,,,,,,,,,,32,,3
8741,,,,,,,,,,,,,,,,0
8742,,,,,7,,,17,,,,,,,,2
8743,,,,5,,,,,,,,,,,,1
8744,,,,,,10,,,,,,,,,,1
8745,0,,,,,,,,,,,,,,,1
8746,,,,5,,,,17,,,,,,,,2
8747,,,,,,10,,17,,23,,,,,,3
8748,,,,,,,,,,,,,,32,,1
8749,,,,,,,,17,18,,,,,,,2
8750,,,,,,,,,,,,,,,,0
8751,,,3,5,,,,,,,,,,,,2
8752,,,,,,,,,,,,,,,,0
8753,,2,,,,,,,,,,28,,,,2
8754,,,,,,,,,,,,,30,,,1
8755,,,,,,,,,,,,28,,32,,2
8756,,,,,,,,,,,25,,,,,1
8757,,,3,5,,,,,,,,,,,,2
8758,,,,,,,,,,,,,30,,,1
8759,,,,,,,,17,,,,,,,,1
8760,,,,,,,,,,,,28,,,,1
8761,,,,,,,,17,,23,,,,,,2
8762,,,,5,,,,,,,,,,,,1
8763,,,,5,,,,,,,,,,,,1
8764,,,3,,,,,,,,,,,,,1
8765,0,,,,,,,,,,,,,,,1
8766,,,,,,,,,,,,,,,,0
8767,0,,3,,7,,,,,,,,30,,,4
8768,,2,,,,,,,,,,,,,,1
8769,,,,,,,,,,,25,28,,,,2
8770,0,2,,,,,,,,,,,,,,2
8771,,,,,,,,,,,,,,,,0
8772,,2,,,,,,,,,,28,,,,2
8773,,,,,,,,,,,25,,,,,1
8774,,,,,,,,,,,,,,,,0
8775,,,3,5,,10,,,,23,25,,,,,5
8776,,,,,,,,,,,,,30,,,1
8777,,,,,,,,,,,,,,,,0
8778,,,,,7,,,,18,,,28,,,,3
8779,,,,,,,,,,,,,,,,0
8780,,,,,,,,,,,,,,,33,1
8781,,,,,,,,,,,,,,,,0
8782,,,,,,,,,,,,,,,,0
8783,,,,,,,,,,23,,,,,,1
8784,,,,,7,,,,18,,,,,,,2
8785,,,,,,,,,,,,,,,33,1
8786,,,,,,,,,,,25,,,,,1
8787,,,,,,,,,,,25,,,,,1
8788,,,,,,10,,17,,,,,,,,2
8789,,,,5,,,,,,23,,,,,,2
8790,,,,,,,,,,,,,,,,0
8791,,,,,,,,,,,,,,,,0
8792,,2,,,,,,,,,,,,,,1
8793,,,,,,,,,,,,,,,,0
8794,,,,,,,,,18,,,,,,,1
8795,,,,,,,,,,,,,,,,0
8796,,,,,,,,,,,,,,,33,1
8797,,,,,,,,17,,,,28,,,,2
8798,,,,,,,,,18,,,,,,33,2
8799,,,,,,,12,,,,,,30,,,2
8800,,,,5,,,,,,,,28,,,,2
8801,,,,,,,,,,,,,,,,0
8802,,,,,,,,,,,,,,,,0
8803,,,,,,,,,,,,,,,,0
8804,,,,,,,,,,,,,,,,0
8805,0,,,,,,,,,23,,,30,,,3
8806,,2,,,,,,,,,,,,,,1
8807,,,,,7,,,,18,,,,,,,2
8808,,,,,7,,,,,,25,28,,,,3
8809,,,,5,,,,,,,,,,,,1
8810,,,,5,,,,,,,,28,,,,2
8811,,,,,,,,,,,,,30,,,1
8812,,,,,,,,,,,,28,,,,1
8813,,,,,,,,,18,,,,,,,1
8814,0,,,,,,,,,,,,,,,1
8815,,,,,,,,,,,25,,,,,1
8816,,2,,,7,,,,,,,,30,,33,4
8817,,,,,,,,,,,,,,32,,1
8818,0,,,,,,,,,23,,,,,,2
8819,,,,,,10,,,,,,,,,,1
8820,,,,,7,,12,,,,,,,,,2
8821,,,3,,,,,,,,,,,,,1
8822,,,,,,10,,,,,,,,,33,2
8823,,,,,,,,,,,,,,,,0
8824,,,,,7,,,,,,,28,,,,2
8825,,,,,,,,,,,,,,,,0
8826,,,,,,,,,,,,,,,,0
8827,0,,,,7,,,,,23,,,,,,3
8828,,,,,,,,,,,,,,,,0
8829,,,,,,,,,,,,,30,,,1
8830,,,,,,,,,18,,,,,,,1
8831,,,3,,,,,,,,25,,,32,,3
8832,,,,,,10,12,,,,,,,,,2
8833,,,,,,,,17,,,,28,,,,2
8834,,,,5,,,,,,,,,,,,1
8835,,,,,,,12,,,,,28,,,,2
8836,,,,5,,,,,,,,,,,33,2
8837,,,,,7,,,,,,,,30,,,2
8838,0,,,,,,,,,,,28,,,,2
8839,,,,,,,,,,,,,,,,0
8840,,,,,7,,,,,,,,,,,1
8841,,,,,,,,,,,,,,,,0
8842,0,,,,,,,,,,25,,30,,,3
8843,,,,,,,,,,,,,,,,0
8844,,,,,7,,,,,,,,,,,1
8845,,,,,,,,,,,,,,,,0
8846,,2,3,,,,,,,,,,,,,2
8847,,,,,,10,,,,,,,,,,1
8848,,2,,,,,,,18,,,,,,,2
8849,,,,,,,,,,,,,,,,0
8850,,,,5,,,,,,,,,,32,,2
8851,,,,5,,,,,,,,,30,,,2
8852,0,,,,,,,,,,,,,,,1
8853,,,,,,,12,,,,25,,,,33,3
8854,,,,,,,,,,,25,,30,,,2
8855,,,,,,,,17,,,,,,,,1
8856,,,,,,,,,,,,,,,,0
8857,,,,,,,,,,,,,,,,0
8858,0,,,,,,12,,,,,,,,,2
8859,,,,,,,,,,,,,30,32,,2
8860,,,,,7,,,,18,,,,,,,2
8861,,,,,7,,,,,,,28,,,,2
8862,0,,,,,,,,,,,,,,,1
8863,,,,,,,,,18,,,,,,,1
8864,,,,5,,,,,,,25,,,,,2
8865,,2,,,,10,,,18,,,,,,,3
8866,0,,,,,,,,,,,,,,,1
8867,,,,,,,,,,,25,,30,,,2
8868,,,,,,,,17,,,,,,,,1
8869,,,,5,,,,17,,,,,,,,2
8870,,,,,,,,,,,,,,,,0
8871,,,,,,,12,,,,,,30,,,2
8872,,,,,,,,,,,25,,,,,1
8873,,,,,,,12,,,,25,,,,,2
8874,,,,,7,,,,18,,,,,,,2
8875,,,,,,,,,,,,,,,,0
8876,,,,,7,,,,,,,,,32,,2
8877,,,,,,,,,,,,,,32,,1
8878,,,,,,,,,,,,28,,,,1
8879,0,,,,,,,17,,,,,,,,2
8880,,,,,,10,12,,,,,,,,,2
8881,,,,,,,,,,,25,,,,,1
8882,,,,,7,,,,18,,,,,,33,3
8883,,,,,,10,,,,,,,,,,1
8884,,,,,,,,,,,,,,,33,1
8885,,,,,,,,,18,,25,,,,,2
8886,,,,,,,,,,,,,,,,0
8887,,2,,,,,12,,,,,28,,,,3
8888,,,,,,,,,,,,,,,33,1
8889,,,,,,,,,,,,28,30,,,2
8890,,,,,,,12,17,,,,,,,,2
8891,,,,,,,,17,,,,,,,,1
8892,0,,,,,,,17,,,,,,,,2
8893,,,,,,,,,,,,,30,,33,2
8894,,2,,5,,,,,18,,,,,,,3
8895,0,,,,,,,,18,,,,,,,2
8896,,,,,,,,,,,,,,,,0
8897,,,,,,,,,,,,,,,33,1
8898,,,,,,10,,,,23,,28,,,,3
8899,,,,,,,,,,,,,,,33,1
8900,,,,,,,12,,,,,,,32,,2
8901,,,,,,,,,,,,,,,,0
8902,,,,,,,,,,,,,,,,0
8903,,,,,,,,,,,,,,,,0
8904,,,,,,,,,,,,,30,,,1
8905,,,,,,,,,,,,,,,33,1
8906,,,,,,,,,,,,,,,,0
8907,,,,,,,,,,,,,,,33,1
8908,,,,5,,,,,,,,,30,,,2
8909,,,,,,,,,,,,,,32,,1
8910,,,,,,,,,,,,,,,,0
8911,,,,,,,,,,23,25,,,,,2
8912,,,,,,,,,18,,,,,32,,2
8913,,,,,,,,,,,,,,,33,1
8914,,,,,7,,,,,,,,,,,1
8915,,,,,,,,,,23,,,,,,1
8916,,,,,,10,,17,,,,,,,,2
8917,,,3,,,,,,,,,,,,,1
8918,,,,,,,,,,,,,,,,0
8919,,,,5,,,,,,,,,,,,1
8920,,,3,,,,,,,,,,,,,1
8921,0,,,,,,,,,,,,,,,1
8922,,,,,,10,,,,,25,,,,,2
8923,,,,,,,,,,23,,,,,,1
8924,,,,,,10,,,,,,28,,,,2
8925,,2,,,,,,,,,,,,32,,2
8926,,,,,,,,,,,,28,,,33,2
8927,,,,,,,,,,,,28,,,,1
8928,,,,,7,,,,,,,,30,,,2
8929,,,,,,,12,,,,25,,,,,2
8930,,,,,,,12,,,,25,,30,,,3
8931,,,,,,,,,,,,,,,,0
8932,,,,,,,,,,,,,,,,0
8933,,,,,,,,,,,,,,,,0
8934,,,,,7,,,,18,,25,,,32,,4
8935,,,,,,,,17,,,,28,,,,2
8936,,,,,,,,,,,,,,,,0
8937,,,,,,,,,,,,,30,,,1
8938,,,,5,,,,,,,,,,,33,2
8939,,,,,7,,,,18,,,,,,,2
8940,0,,,,,10,,17,,,,,,,,3
8941,,,,,,10,,,,,,,,,,1
8942,,,,,,,,,,,,,,,,0
8943,,,3,5,,10,,,,,,,,32,,4
8944,,,,,,,,,,,,,30,,,1
8945,,,,,7,,,,18,,,,,,,2
8946,,,,,,,,,,,,,30,,,1
8947,,,3,,7,,,,18,,,,,,33,4
8948,,,,,,,,,,,,,,,,0
8949,,,,,,,,,,,,,,,,0
8950,,,,,,,,,,,,,,,,0
8951,,,,,,,,,,23,,,,,,1
8952,,,3,,,,,,,,,,,,,1
8953,,,,,,,,,,,,,,32,,1
8954,0,,,,,,,,,,,,,,,1
8955,,,,,,,,,,,,,,,,0
8956,,,,,,,12,,,,,,30,,,2
8957,,,,,,,,,,,,,,32,,1
8958,,,3,,7,,,,,,,,,,,2
8959,0,2,,,,,12,,,,,,,,,3
8960,,,3,,,,,,,,25,28,,,,3
8961,,2,,,7,,,,,,,,,,,2
8962,,,3,,,,,,,,25,,,,,2
8963,,,,,,,,,,23,,,,,,1
8964,,,3,5,,,,,,,,,,,,2
8965,,,,,,,,,,,,,,,,0
8966,,,,,,,,,,,,,,32,,1
8967,,,,,,,,,,,,,,,,0
8968,,,,,,,,17,,,,,,,,1
8969,,2,,,,,,,,,,,30,,,2
8970,,,,,,,,,,,,,30,,,1
8971,,,,5,,10,,17,,,,,,,,3
8972,0,,,,,,,,,,,,,,,1
8973,,2,,,,,,,,,25,,,,33,3
8974,,,,,,10,,,,23,,,,,,2
8975,,,,,7,,,,,23,,,,,,2
8976,,,,,,,,,,,,,,32,,1
