3,1
5,1
10,1
12,1
17,1
23,1
0,2
2,2
7,2
17,2
25,2
30,2
33,2
2,3
5,3
30,3
32,3
33,3
3,4
7,4
30,4
32,4
0,5
2,5
7,5
17,5
30,5
3,6
5,6
7,6
10,6
28,6
32,6
2,7
3,7
23,7
25,7
33,7
3,8
7,8
18,8
32,8
33,8
7,9
10,9
18,9
23,9
32,9
33,9
2,10
5,10
7,10
23,10
28,10
0,11
5,11
12,11
5,12
12,12
23,12
28,12
32,12
0,13
10,13
12,13
5,14
10,14
30,14
3,15
17,15
18,15
25,15
30,15
0,16
2,16
5,16
17,16
18,16
28,16
30,16
33,16
2,17
17,17
33,17
7,18
12,18
23,18
25,18
2,19
5,19
10,19
17,19
23,19
28,19
3,20
5,20
7,20
10,20
12,20
23,20
2,21
12,21
18,21
23,21
3,22
5,22
17,22
28,22
30,22
17,23
23,23
30,23
32,23
10,24
32,24
5,25
28,25
32,25
3,26
7,26
10,26
30,26
32,26
33,26
12,27
30,27
33,27
0,28
0,29
7,29
18,29
30,29
0,30
10,30
25,30
7,31
10,31
25,31
30,31
32,31
7,32
10,32
12,32
18,32
25,32
3,33
5,33
33,33
12,34
28,34
32,34
0,35
18,35
23,35
33,35
0,36
5,36
33,36
18,37
30,37
5,38
18,38
5,39
7,39
17,39
33,39
5,40
23,40
33,40
3,41
0,42
3,42
7,42
25,42
30,42
32,42
2,43
0,44
7,44
17,44
30,44
32,44
33,44
2,45
30,45
3,46
10,46
18,46
33,46
10,47
23,47
28,47
33,47
2,48
10,48
32,48
2,49
7,49
23,49
28,49
0,50
5,50
0,51
25,51
30,51
3,52
23,52
25,52
33,52
5,53
7,53
2,54
25,54
0,55
25,55
28,55
3,56
12,56
30,56
0,57
12,57
17,57
23,57
32,57
10,58
12,58
33,58
25,59
2,60
2,61
18,61
32,61
33,61
33,62
18,63
28,63
5,65
7,65
10,65
12,65
18,65
30,65
3,66
7,66
12,66
23,66
25,66
2,67
30,67
7,68
18,68
28,68
10,69
12,69
17,69
23,69
28,70
3,72
25,72
28,72
0,73
5,73
7,74
17,74
18,74
32,74
33,74
23,75
2,76
17,76
18,76
30,76
3,77
10,77
32,77
12,78
7,79
10,79
17,79
5,80
17,80
30,80
3,81
30,81
33,81
12,82
28,82
