Date,Open,High,Low,Close
2018-5-15,0.738938,0.752269,0.692667,0.698588
2018-5-14,0.744701,0.756983,0.707693,0.740898
2018-5-13,0.698085,0.758977,0.680971,0.745748
2018-5-12,0.685772,0.714918,0.639771,0.696735
2018-5-11,0.756578,0.761326,0.656026,0.684948
2018-5-10,0.803212,0.808914,0.757342,0.758237
2018-5-9,0.813393,0.819969,0.7703,0.802043
2018-5-8,0.833086,0.846992,0.803568,0.81397
2018-5-7,0.871214,0.871236,0.812933,0.832641
2018-5-6,0.904235,0.918675,0.855972,0.871424
2018-5-5,0.895562,0.922354,0.895562,0.905103
2018-5-4,0.881536,0.927695,0.866922,0.895442
2018-5-3,0.85898,0.892916,0.847319,0.884466
2018-5-2,0.839355,0.86428,0.831713,0.859094
2018-5-1,0.838355,0.842069,0.797826,0.841407
2018-4-30,0.871404,0.876788,0.831208,0.837938
2018-4-29,0.864399,0.904945,0.83448,0.872778
2018-4-28,0.812063,0.887591,0.812063,0.863804
2018-4-27,0.851139,0.859641,0.813885,0.813885
2018-4-26,0.801774,0.852414,0.771787,0.852414
2018-4-25,0.932771,0.932771,0.779231,0.800607
2018-4-24,0.876012,0.96561,0.873566,0.934781
2018-4-23,0.866578,0.88629,0.863304,0.876657
2018-4-22,0.86682,0.911901,0.848091,0.869995
2018-4-21,0.925021,0.925021,0.821113,0.873103
2018-4-20,0.791172,0.938354,0.791172,0.924465
2018-4-19,0.712059,0.791976,0.706841,0.791976
2018-4-18,0.657052,0.721426,0.657052,0.708932
2018-4-17,0.66489,0.677356,0.654346,0.656933
2018-4-16,0.682296,0.687165,0.63861,0.663297
2018-4-15,0.634883,0.682534,0.634143,0.682534
2018-4-14,0.63738,0.661508,0.616307,0.632184
2018-4-13,0.630093,0.693112,0.605816,0.638087
2018-4-12,0.538657,0.644518,0.506543,0.628737
2018-4-11,0.492568,0.548455,0.489026,0.539506
2018-4-10,0.492134,0.493645,0.482839,0.491931
2018-4-9,0.501201,0.512142,0.482573,0.491855
2018-4-8,0.488227,0.501418,0.487591,0.500398
2018-4-7,0.476851,0.495667,0.474575,0.487867
2018-4-6,0.494781,0.49809,0.465615,0.476431
2018-4-5,0.50195,0.505882,0.48449,0.495801
2018-4-4,0.554569,0.563117,0.498487,0.501631
2018-4-3,0.501533,0.562698,0.499658,0.558044
2018-4-2,0.486067,0.510446,0.478596,0.500688
2018-4-1,0.513854,0.515437,0.466223,0.485081
2018-3-31,0.510617,0.529406,0.505167,0.512353
2018-3-30,0.513268,0.531276,0.484362,0.509565
2018-3-29,0.577767,0.57864,0.511511,0.511511
2018-3-28,0.577511,0.594023,0.572828,0.578002
2018-3-27,0.599026,0.604332,0.565132,0.577917
2018-3-26,0.642683,0.644121,0.585922,0.599463
2018-3-25,0.638632,0.657213,0.631901,0.641875
2018-3-24,0.646214,0.679608,0.640516,0.641265
2018-3-23,0.663111,0.663111,0.625258,0.643174
2018-3-22,0.693145,0.701351,0.636741,0.662743
2018-3-21,0.713055,0.72061,0.679162,0.693664
2018-3-20,0.736759,0.736759,0.673427,0.709808
