Date,Open,High,Low,Close
2018-4-28,145.74,153.33,145.74,152.3
2018-4-27,153.44,153.62,145.91,145.91
2018-4-26,144.7,153.82,142.64,153.68
2018-4-25,165.09,165.09,142.59,144.76
2018-4-24,152.57,165.94,152.57,165.78
2018-4-23,146.67,152.77,146.67,152.25
2018-4-22,148.61,152.23,145.31,146.77
2018-4-21,155.69,156.61,142.18,148.93
2018-4-20,146.5,155.72,143.84,155.54
2018-4-19,140.04,146.87,138.96,146.3
2018-4-18,132.38,140.85,132.38,140.0
2018-4-17,128.71,139.65,128.71,132.93
2018-4-16,131.97,132.63,125.24,128.34
2018-4-15,126.67,132.04,126.67,132.04
2018-4-14,125.22,129.34,124.77,126.29
2018-4-13,129.27,133.04,124.06,125.35
2018-4-12,118.29,129.34,113.55,129.34
2018-4-11,114.29,119.09,113.33,118.29
2018-4-10,115.21,115.4,112.52,114.26
2018-4-9,117.78,122.43,113.33,114.99
2018-4-8,116.29,118.55,115.95,117.67
2018-4-7,113.14,119.38,113.09,116.26
2018-4-6,118.81,119.93,112.79,113.16
2018-4-5,118.21,121.29,114.47,119.13
2018-4-4,133.91,134.61,116.58,118.41
2018-4-3,119.51,136.45,118.58,134.47
2018-4-2,115.24,121.42,114.72,119.31
2018-4-1,116.91,117.83,110.52,115.22
2018-3-31,118.64,123.87,116.18,116.61
2018-3-30,114.8,124.9,110.26,118.6
2018-3-29,131.93,132.61,113.93,114.68
2018-3-28,135.49,140.13,131.03,131.75
2018-3-27,148.96,149.62,135.78,135.78
2018-3-26,160.16,160.99,143.12,149.22
2018-3-25,158.86,162.72,157.52,160.08
2018-3-24,168.53,168.65,159.63,159.63
2018-3-23,163.58,167.83,157.26,167.83
2018-3-22,168.72,172.31,161.11,163.67
2018-3-21,169.56,175.26,166.62,169.05
2018-3-20,161.52,173.3,156.81,168.82
2018-3-19,155.47,163.05,151.66,161.14
2018-3-18,152.54,156.15,138.02,154.07
2018-3-17,165.19,165.22,151.06,152.97
2018-3-16,164.82,171.26,158.99,165.45
2018-3-15,161.2,167.33,151.48,164.48
2018-3-14,175.94,177.55,158.63,161.1
2018-3-13,177.6,181.87,172.26,175.78
