6/7/2014,game-122,28,30,35,58,59,15
6/11/2014,game-123,14,18,25,33,49,23
6/14/2014,game-124,9,33,42,45,54,30
6/18/2014,game-125,6,9,29,52,59,7
6/21/2014,game-126,5,6,37,41,54,26
6/25/2014,game-127,10,20,25,50,53,35
6/28/2014,game-128,8,12,34,43,56,9
7/2/2014,game-129,8,18,45,53,58,35
7/5/2014,game-130,24,34,36,57,58,11
7/9/2014,game-131,9,25,42,55,57,14
7/12/2014,game-132,2,3,7,23,51,26
7/16/2014,game-133,5,15,18,26,32,35
7/19/2014,game-134,10,17,25,45,53,9
7/23/2014,game-135,4,10,12,22,31,3
7/26/2014,game-136,24,28,30,38,39,16
7/30/2014,game-137,13,30,42,49,53,29
8/2/2014,game-138,12,26,44,46,47,29
8/6/2014,game-139,1,8,24,28,49,24
8/9/2014,game-140,3,12,31,34,51,24
8/13/2014,game-141,8,37,39,40,52,24
8/16/2014,game-142,7,8,17,48,59,9
8/20/2014,game-143,4,8,21,38,40,3
8/23/2014,game-144,28,32,35,36,52,31
8/27/2014,game-145,17,24,26,45,46,19
8/30/2014,game-146,5,28,31,52,59,27
9/3/2014,game-147,2,16,43,45,51,35
9/6/2014,game-148,9,29,31,43,50,18
9/10/2014,game-149,2,14,39,40,43,13
9/13/2014,game-150,1,6,16,37,53,27
9/17/2014,game-151,18,25,36,48,50,23
9/20/2014,game-152,22,23,30,37,39,16
9/24/2014,game-153,7,14,21,24,41,26
9/27/2014,game-154,2,11,35,52,54,13
10/1/2014,game-155,1,4,18,20,45,7
10/4/2014,game-156,13,18,24,25,33,31
10/8/2014,game-157,5,16,31,46,50,18
10/11/2014,game-158,10,19,37,38,39,28
10/15/2014,game-159,5,7,19,27,28,20
10/18/2014,game-160,20,26,27,36,54,19
10/22/2014,game-161,29,30,40,42,50,16
10/25/2014,game-162,6,10,51,54,57,12
10/29/2014,game-163,25,28,48,57,59,16
11/1/2014,game-164,1,3,13,25,38,17
11/5/2014,game-165,2,11,19,21,42,34
11/8/2014,game-166,9,19,33,38,54,15
11/12/2014,game-167,37,39,51,52,55,11
11/15/2014,game-168,13,16,33,35,51,28
