4/1/2015,,2,30,33,39,44,1
4/4/2015,,33,39,40,41,54,28
4/8/2015,,1,19,45,46,58,29
4/11/2015,,1,12,32,42,58,12
4/15/2015,,1,16,21,29,40,30
4/18/2015,,13,22,23,29,31,17
4/22/2015,,10,14,25,39,53,18
4/25/2015,,21,33,35,38,45,12
4/29/2015,,1,26,34,38,51,6
5/2/2015,,2,6,11,30,31,33
5/6/2015,,23,24,27,39,41,30
5/9/2015,,4,15,17,35,58,17
5/13/2015,,1,25,29,31,47,7
5/16/2015,,24,29,38,48,52,32
5/20/2015,,1,12,28,35,44,25
5/23/2015,,9,15,17,31,43,16
5/27/2015,,8,15,34,53,59,23
5/30/2015,,8,9,25,56,57,22
6/3/2015,,6,8,13,37,40,11
6/6/2015,,8,13,18,27,43,15
6/10/2015,,31,32,48,49,53,25
6/13/2015,,29,41,48,52,54,29
6/17/2015,,20,21,22,41,54,7
6/20/2015,,9,10,16,20,57,15
6/24/2015,,3,5,10,22,32,7
6/27/2015,,18,28,35,46,49,27
7/1/2015,,7,24,26,31,41,25
7/4/2015,,3,6,14,18,24,21
7/8/2015,,4,15,25,27,30,18
7/11/2015,,11,39,46,52,54,3
7/15/2015,,13,16,34,45,50,11
7/18/2015,,6,37,39,45,55,33
7/22/2015,,12,31,43,44,57,11
7/25/2015,,27,29,34,41,44,2
7/29/2015,,4,22,27,28,52,35
8/1/2015,,7,13,24,49,57,15
8/5/2015,,9,11,14,16,42,19
8/8/2015,,9,34,48,52,54,15
8/12/2015,,8,13,29,38,52,28
8/15/2015,,3,13,17,42,52,24
8/19/2015,,6,8,43,48,50,7
8/22/2015,,4,12,14,21,55,7
8/26/2015,,2,22,32,45,56,12
8/29/2015,,18,21,25,28,29,16
9/2/2015,,17,22,30,46,56,16
9/5/2015,,10,16,18,29,45,19
9/9/2015,,44,45,47,50,51,8
9/12/2015,,2,3,13,16,35,27
9/16/2015,,5,7,24,31,39,7
9/19/2015,,12,17,26,43,48,24
9/23/2015,,8,29,41,51,58,5
9/26/2015,,23,31,42,50,57,5
9/30/2015,,21,39,40,55,59,17
10/3/2015,,6,26,33,44,46,4
10/7/2015,,18,30,40,48,52,9
10/10/2015,,12,27,29,43,68,1
10/14/2015,,15,20,29,31,40,1
10/17/2015,,48,49,57,62,69,19
10/21/2015,,30,32,42,56,57,11
10/24/2015,,20,31,56,60,64,2
10/28/2015,,4,54,56,62,63,10
10/31/2015,,9,20,25,47,68,7
11/4/2015,,2,12,17,20,65,17
11/7/2015,,7,16,25,50,53,15
11/11/2015,,4,26,32,55,64,18
11/14/2015,,14,22,37,45,66,5
11/18/2015,,17,40,41,46,69,6
11/21/2015,,37,47,50,52,57,21
11/25/2015,,16,29,53,58,69,21
11/28/2015,,2,6,47,66,67,2
12/2/2015,,14,18,19,32,64,9
12/5/2015,,13,27,33,47,68,13
12/9/2015,,7,10,16,46,56,1
12/12/2015,,2,14,19,30,62,22
12/16/2015,,9,10,32,42,55,6
12/19/2015,,28,30,41,59,68,10
12/23/2015,,16,38,55,63,67,25
12/26/2015,,27,40,44,59,65,20
12/30/2015,,12,36,38,54,61,22
1/2/2016,,5,6,15,29,42,10
1/6/2016,,2,11,47,62,63,17
1/9/2016,,16,19,32,34,57,13
1/13/2016,,4,8,19,27,34,10
