len1,len2,len3,len4,len5,len6,len7
170.4591892,197.0486271,120.5736872,69.6175503,108.2920374,53.99909866,1.302863565
197.0486271,120.5736872,69.6175503,108.2920374,53.99909866,1.302863565,4.620398287
120.5736872,69.6175503,108.2920374,53.99909866,1.302863565,4.620398287,22.69693416
69.6175503,108.2920374,53.99909866,1.302863565,4.620398287,22.69693416,29.15908991
108.2920374,53.99909866,1.302863565,4.620398287,22.69693416,29.15908991,14.31343799
53.99909866,1.302863565,4.620398287,22.69693416,29.15908991,14.31343799,37.43292131
1.302863565,4.620398287,22.69693416,29.15908991,14.31343799,37.43292131,70.77685954
4.620398287,22.69693416,29.15908991,14.31343799,37.43292131,70.77685954,77.11971877
22.69693416,29.15908991,14.31343799,37.43292131,70.77685954,77.11971877,65.22709672
29.15908991,14.31343799,37.43292131,70.77685954,77.11971877,65.22709672,41.90523923
14.31343799,37.43292131,70.77685954,77.11971877,65.22709672,41.90523923,13.04268761
37.43292131,70.77685954,77.11971877,65.22709672,41.90523923,13.04268761,11.65595889
70.77685954,77.11971877,65.22709672,41.90523923,13.04268761,11.65595889,26.7783796
77.11971877,65.22709672,41.90523923,13.04268761,11.65595889,26.7783796,35.56373533
65.22709672,41.90523923,13.04268761,11.65595889,26.7783796,35.56373533,28.46314947
41.90523923,13.04268761,11.65595889,26.7783796,35.56373533,28.46314947,96.14593367
13.04268761,11.65595889,26.7783796,35.56373533,28.46314947,96.14593367,143.3379038
11.65595889,26.7783796,35.56373533,28.46314947,96.14593367,143.3379038,79.97888159
26.7783796,35.56373533,28.46314947,96.14593367,143.3379038,79.97888159,33.09836562
35.56373533,28.46314947,96.14593367,143.3379038,79.97888159,33.09836562,29.32606666
28.46314947,96.14593367,143.3379038,79.97888159,33.09836562,29.32606666,59.9312747
96.14593367,143.3379038,79.97888159,33.09836562,29.32606666,59.9312747,81.40336615
143.3379038,79.97888159,33.09836562,29.32606666,59.9312747,81.40336615,90.39841156
79.97888159,33.09836562,29.32606666,59.9312747,81.40336615,90.39841156,83.30068534
33.09836562,29.32606666,59.9312747,81.40336615,90.39841156,83.30068534,64.49325596
29.32606666,59.9312747,81.40336615,90.39841156,83.30068534,64.49325596,37.51798534
59.9312747,81.40336615,90.39841156,83.30068534,64.49325596,37.51798534,19.79894847
81.40336615,90.39841156,83.30068534,64.49325596,37.51798534,19.79894847,22.2489441
90.39841156,83.30068534,64.49325596,37.51798534,19.79894847,22.2489441,46.34782063
83.30068534,64.49325596,37.51798534,19.79894847,22.2489441,46.34782063,51.64906516
64.49325596,37.51798534,19.79894847,22.2489441,46.34782063,51.64906516,18.85000605
37.51798534,19.79894847,22.2489441,46.34782063,51.64906516,18.85000605,20.28687521
19.79894847,22.2489441,46.34782063,51.64906516,18.85000605,20.28687521,27.59799958
22.2489441,46.34782063,51.64906516,18.85000605,20.28687521,27.59799958,53.77084065
46.34782063,51.64906516,18.85000605,20.28687521,27.59799958,53.77084065,55.11758931
51.64906516,18.85000605,20.28687521,27.59799958,53.77084065,55.11758931,27.96623285
18.85000605,20.28687521,27.59799958,53.77084065,55.11758931,27.96623285,1.728292787
