lendiff1,lendiff2,lendiff3,lendiff4,lendiff5,lendiff6,lendiff7,lendiff8,lendiff9,lendiff10,lendiff11,lendiff12
0.384905082,-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752
-32.48042969,8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067
8.260155824,48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884
48.59284035,-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779
-87.30204698,49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403
49.32499466,49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195
49.84494542,-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804
-112.4617405,78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393
78.31499195,-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764
-5.427959165,-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548
-15.47158029,18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853
18.81562752,-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491
-38.23273067,40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467
40.25041884,-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621
-65.67001779,88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329
88.95637403,-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038
-37.70128195,-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695
-25.08552804,67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914
67.43963393,-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289
-111.7019764,104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549
104.7775548,-47.71364853,20.45044491,-20.1144467,-1.769704621,26.97036329,-39.88520038,41.89892695,-21.52660914,11.8171289,-22.74940549,31.41203023
